Date,PyTorch,TensorFlow
07/12/16,10,88
08/12/16,7,84
09/12/16,11,55
10/12/16,5,31
11/12/16,9,7
12/12/16,10,37
13/12/16,18,52
14/12/16,20,51
15/12/16,15,55
16/12/16,17,66
17/12/16,10,33
18/12/16,2,8
19/12/16,24,26
20/12/16,25,39
21/12/16,20,70
22/12/16,25,49
23/12/16,8,16
24/12/16,5,6
25/12/16,3,3
26/12/16,5,3
27/12/16,25,26
28/12/16,14,26
29/12/16,38,29
30/12/16,19,12
31/12/16,34,5
01/01/17,11,5
02/01/17,10,3
03/01/17,24,31
04/01/17,72,49
05/01/17,36,33
06/01/17,7,54
07/01/17,1,15
08/01/17,0,6
09/01/17,9,29
10/01/17,9,50
11/01/17,8,47
12/01/17,9,53
13/01/17,22,54
14/01/17,4,10
15/01/17,16,9
16/01/17,11,10
17/01/17,17,61
18/01/17,28,61
19/01/17,18,79
20/01/17,20,63
21/01/17,8,14
22/01/17,8,7
23/01/17,15,22
24/01/17,23,61
25/01/17,20,50
26/01/17,13,45
27/01/17,24,59
28/01/17,15,18
29/01/17,12,10
30/01/17,13,38
31/01/17,23,56
01/02/17,17,81
02/02/17,17,66
03/02/17,6,60
04/02/17,5,34
05/02/17,0,10
06/02/17,9,44
07/02/17,20,64
08/02/17,12,57
09/02/17,17,69
10/02/17,18,63
11/02/17,7,32
12/02/17,8,7
13/02/17,11,51
14/02/17,24,77
15/02/17,31,57
16/02/17,26,48
17/02/17,21,39
18/02/17,4,10
19/02/17,10,10
20/02/17,13,10
21/02/17,13,29
22/02/17,21,71
23/02/17,12,41
24/02/17,8,40
25/02/17,13,15
26/02/17,7,2
27/02/17,21,47
28/02/17,33,39
01/03/17,23,59
02/03/17,19,50
03/03/17,26,48
04/03/17,12,20
05/03/17,17,16
06/03/17,11,23
07/03/17,22,51
08/03/17,19,47
09/03/17,19,40
10/03/17,19,46
11/03/17,9,16
12/03/17,5,5
13/03/17,22,42
14/03/17,18,55
15/03/17,31,57
16/03/17,16,59
17/03/17,18,46
18/03/17,2,10
19/03/17,3,6
20/03/17,10,46
21/03/17,8,37
22/03/17,28,63
23/03/17,24,51
24/03/17,37,40
25/03/17,4,10
26/03/17,7,4
27/03/17,20,46
28/03/17,20,67
29/03/17,26,51
30/03/17,13,46
31/03/17,24,70
01/04/17,6,17
02/04/17,8,2
03/04/17,15,34
04/04/17,16,32
05/04/17,20,32
06/04/17,30,38
07/04/17,18,44
08/04/17,9,15
09/04/17,6,3
10/04/17,12,44
11/04/17,24,48
12/04/17,34,36
13/04/17,14,33
14/04/17,14,37
15/04/17,3,7
16/04/17,3,10
17/04/17,21,40
18/04/17,33,47
19/04/17,35,42
20/04/17,31,53
21/04/17,16,26
22/04/17,12,15
23/04/17,8,4
24/04/17,8,16
25/04/17,27,30
26/04/17,24,38
27/04/17,16,59
28/04/17,33,51
29/04/17,7,20
30/04/17,3,8
01/05/17,14,49
02/05/17,27,48
03/05/17,32,32
04/05/17,26,52
05/05/17,21,42
06/05/17,3,28
07/05/17,13,11
08/05/17,24,35
09/05/17,23,44
10/05/17,20,28
11/05/17,13,58
12/05/17,11,78
13/05/17,1,8
14/05/17,2,6
15/05/17,18,44
16/05/17,9,49
17/05/17,20,67
18/05/17,11,63
19/05/17,16,69
20/05/17,8,13
21/05/17,3,12
22/05/17,7,47
23/05/17,21,61
24/05/17,30,56
25/05/17,27,42
26/05/17,21,76
27/05/17,2,25
28/05/17,2,7
29/05/17,6,10
30/05/17,21,42
31/05/17,23,60
01/06/17,22,53
02/06/17,20,47
03/06/17,11,13
04/06/17,4,2
05/06/17,36,33
06/06/17,40,66
07/06/17,49,65
08/06/17,27,56
09/06/17,25,66
10/06/17,7,11
11/06/17,8,12
12/06/17,18,19
13/06/17,14,76
14/06/17,27,54
15/06/17,50,38
16/06/17,21,53
17/06/17,6,5
18/06/17,0,2
19/06/17,28,30
20/06/17,29,57
21/06/17,42,63
22/06/17,24,68
23/06/17,34,39
24/06/17,2,9
25/06/17,0,3
26/06/17,19,47
27/06/17,21,60
28/06/17,19,42
29/06/17,21,43
30/06/17,10,44
01/07/17,2,14
02/07/17,4,8
03/07/17,16,5
04/07/17,13,16
05/07/17,13,24
06/07/17,8,71
07/07/17,19,54
08/07/17,8,12
09/07/17,3,2
10/07/17,27,37
11/07/17,32,38
12/07/17,29,46
13/07/17,56,47
14/07/17,42,41
15/07/17,11,10
16/07/17,5,5
17/07/17,23,20
18/07/17,32,56
19/07/17,28,44
20/07/17,16,48
21/07/17,23,55
22/07/17,4,11
23/07/17,7,2
24/07/17,23,43
25/07/17,40,68
26/07/17,37,42
27/07/17,29,48
28/07/17,22,49
29/07/17,6,10
30/07/17,10,8
31/07/17,14,41
01/08/17,29,34
02/08/17,19,90
03/08/17,32,76
04/08/17,24,45
05/08/17,1,11
06/08/17,7,3
07/08/17,17,32
08/08/17,17,36
09/08/17,30,64
10/08/17,14,58
11/08/17,6,48
12/08/17,8,9
13/08/17,2,1
14/08/17,6,34
15/08/17,23,37
16/08/17,35,48
17/08/17,37,63
18/08/17,33,50
19/08/17,7,13
20/08/17,3,4
21/08/17,13,39
22/08/17,25,42
23/08/17,31,47
24/08/17,32,70
25/08/17,40,54
26/08/17,11,13
27/08/17,4,8
28/08/17,22,60
29/08/17,19,46
30/08/17,41,51
31/08/17,28,27
01/09/17,24,31
02/09/17,8,9
03/09/17,3,7
04/09/17,3,8
05/09/17,34,47
06/09/17,27,51
07/09/17,49,70
08/09/17,31,62
09/09/17,8,9
10/09/17,11,3
11/09/17,26,33
12/09/17,25,42
13/09/17,33,50
14/09/17,31,48
15/09/17,22,52
16/09/17,2,21
17/09/17,17,14
18/09/17,20,41
19/09/17,27,52
20/09/17,23,55
21/09/17,21,39
22/09/17,16,58
23/09/17,13,15
24/09/17,12,11
25/09/17,17,28
26/09/17,24,59
27/09/17,17,59
28/09/17,17,75
29/09/17,14,55
30/09/17,4,14
01/10/17,3,7
02/10/17,17,60
03/10/17,39,55
04/10/17,21,73
05/10/17,31,66
06/10/17,25,69
07/10/17,9,16
08/10/17,3,10
09/10/17,20,29
10/10/17,19,54
11/10/17,26,33
12/10/17,33,55
13/10/17,23,68
14/10/17,11,10
15/10/17,5,16
16/10/17,17,54
17/10/17,16,41
18/10/17,14,48
19/10/17,32,51
20/10/17,28,57
21/10/17,3,11
22/10/17,5,8
23/10/17,11,46
24/10/17,33,39
25/10/17,22,67
26/10/17,39,54
27/10/17,15,64
28/10/17,13,17
29/10/17,4,4
30/10/17,20,47
31/10/17,23,58
01/11/17,28,38
02/11/17,37,49
03/11/17,19,40
04/11/17,10,28
05/11/17,1,21
06/11/17,14,40
07/11/17,29,70
08/11/17,29,133
09/11/17,25,118
10/11/17,20,78
11/11/17,12,32
12/11/17,4,7
13/11/17,13,40
14/11/17,28,73
15/11/17,29,45
16/11/17,15,71
17/11/17,12,68
18/11/17,8,22
19/11/17,3,6
20/11/17,11,41
21/11/17,18,54
22/11/17,12,81
23/11/17,7,27
24/11/17,7,3
25/11/17,0,5
26/11/17,7,3
27/11/17,10,31
28/11/17,13,63
29/11/17,23,61
30/11/17,20,52
01/12/17,18,57
02/12/17,12,23
03/12/17,4,5
04/12/17,18,64
05/12/17,15,52
06/12/17,16,63
07/12/17,12,75
08/12/17,10,51
09/12/17,2,20
10/12/17,2,19
11/12/17,10,43
12/12/17,8,50
13/12/17,11,50
14/12/17,19,60
15/12/17,29,71
16/12/17,7,34
17/12/17,2,14
18/12/17,34,45
19/12/17,9,77
20/12/17,23,100
21/12/17,25,75
22/12/17,10,57
23/12/17,10,14
24/12/17,2,4
25/12/17,0,2
26/12/17,3,23
27/12/17,8,22
28/12/17,9,23
29/12/17,6,18
30/12/17,4,6
31/12/17,2,16
01/01/18,2,21
02/01/18,20,33
03/01/18,22,58
04/01/18,31,59
05/01/18,11,62
06/01/18,6,13
07/01/18,2,5
08/01/18,12,19
09/01/18,13,55
10/01/18,11,63
11/01/18,28,68
12/01/18,11,74
13/01/18,6,27
14/01/18,4,3
15/01/18,2,13
16/01/18,14,40
17/01/18,11,61
18/01/18,13,87
19/01/18,21,52
20/01/18,11,20
21/01/18,2,5
22/01/18,14,37
23/01/18,27,94
24/01/18,22,94
25/01/18,21,83
26/01/18,13,98
27/01/18,6,28
28/01/18,6,14
29/01/18,18,70
30/01/18,18,88
31/01/18,20,56
01/02/18,17,82
02/02/18,13,80
03/02/18,6,37
04/02/18,6,15
05/02/18,18,52
06/02/18,26,64
07/02/18,19,65
08/02/18,23,101
09/02/18,15,43
10/02/18,3,15
11/02/18,0,12
12/02/18,22,60
13/02/18,26,56
14/02/18,22,53
15/02/18,16,68
16/02/18,14,84
17/02/18,4,15
18/02/18,5,6
19/02/18,2,13
20/02/18,15,50
21/02/18,17,71
22/02/18,10,53
23/02/18,22,53
24/02/18,14,23
25/02/18,18,7
26/02/18,11,81
27/02/18,26,74
28/02/18,21,50
01/03/18,34,53
02/03/18,27,71
03/03/18,13,14
04/03/18,7,6
05/03/18,13,54
06/03/18,34,63
07/03/18,19,84
08/03/18,22,95
09/03/18,41,72
10/03/18,16,14
11/03/18,3,16
12/03/18,19,51
13/03/18,11,80
14/03/18,15,55
15/03/18,26,77
16/03/18,10,58
17/03/18,16,21
18/03/18,2,17
19/03/18,26,44
20/03/18,44,75
21/03/18,17,62
22/03/18,24,74
23/03/18,33,75
24/03/18,11,18
25/03/18,5,5
26/03/18,40,46
27/03/18,29,71
28/03/18,26,81
29/03/18,17,80
30/03/18,41,71
31/03/18,10,7
01/04/18,0,8
02/04/18,14,46
03/04/18,19,63
04/04/18,17,62
05/04/18,24,62
06/04/18,18,69
07/04/18,9,27
08/04/18,2,2
09/04/18,15,54
10/04/18,33,87
11/04/18,14,89
12/04/18,22,123
13/04/18,11,84
14/04/18,5,23
15/04/18,3,5
16/04/18,21,86
17/04/18,29,134
18/04/18,27,89
19/04/18,34,106
20/04/18,23,96
21/04/18,12,16
22/04/18,9,24
23/04/18,22,66
24/04/18,17,76
25/04/18,30,74
26/04/18,30,76
27/04/18,17,44
28/04/18,15,35
29/04/18,5,12
30/04/18,23,60
01/05/18,42,57
02/05/18,16,66
03/05/18,22,53
04/05/18,34,43
05/05/18,3,26
06/05/18,3,2
07/05/18,11,57
08/05/18,26,51
09/05/18,20,66
10/05/18,26,66
11/05/18,11,56
12/05/18,6,10
13/05/18,21,8
14/05/18,12,56
15/05/18,25,47
16/05/18,28,75
17/05/18,15,88
18/05/18,24,56
19/05/18,7,16
20/05/18,4,5
21/05/18,14,41
22/05/18,10,66
23/05/18,17,63
24/05/18,19,89
25/05/18,17,47
26/05/18,10,17
27/05/18,0,9
28/05/18,1,8
29/05/18,26,59
30/05/18,23,68
31/05/18,22,68
01/06/18,25,72
02/06/18,13,16
03/06/18,2,8
04/06/18,22,101
05/06/18,17,79
06/06/18,35,65
07/06/18,30,74
08/06/18,24,63
09/06/18,6,14
10/06/18,7,2
11/06/18,13,54
12/06/18,21,75
13/06/18,25,101
14/06/18,31,67
15/06/18,23,79
16/06/18,4,19
17/06/18,0,13
18/06/18,18,62
19/06/18,23,93
20/06/18,33,85
21/06/18,21,81
22/06/18,22,103
23/06/18,3,29
24/06/18,2,13
25/06/18,17,65
26/06/18,20,110
27/06/18,15,126
28/06/18,22,121
29/06/18,19,105
30/06/18,7,24
01/07/18,4,12
02/07/18,9,72
03/07/18,11,83
04/07/18,3,36
05/07/18,7,18
06/07/18,18,44
07/07/18,1,21
08/07/18,5,2
09/07/18,15,70
10/07/18,19,69
11/07/18,20,87
12/07/18,16,73
13/07/18,17,62
14/07/18,8,27
15/07/18,2,16
16/07/18,14,70
17/07/18,19,69
18/07/18,29,95
19/07/18,15,88
20/07/18,17,81
21/07/18,5,23
22/07/18,3,15
23/07/18,18,66
24/07/18,23,102
25/07/18,26,85
26/07/18,21,80
27/07/18,32,47
28/07/18,11,13
29/07/18,2,15
30/07/18,21,63
31/07/18,25,83
01/08/18,40,82
02/08/18,30,61
03/08/18,25,67
04/08/18,14,23
05/08/18,4,4
06/08/18,12,71
07/08/18,22,72
08/08/18,3,62
09/08/18,16,126
10/08/18,17,91
11/08/18,4,39
12/08/18,3,12
13/08/18,18,55
14/08/18,27,87
15/08/18,39,76
16/08/18,22,80
17/08/18,24,62
18/08/18,3,22
19/08/18,2,12
20/08/18,17,52
21/08/18,12,92
22/08/18,26,100
23/08/18,24,89
24/08/18,23,94
25/08/18,6,30
26/08/18,2,12
27/08/18,16,57
28/08/18,24,77
29/08/18,39,59
30/08/18,26,71
31/08/18,41,103
01/09/18,3,26
02/09/18,15,8
03/09/18,3,19
04/09/18,15,66
05/09/18,36,88
06/09/18,31,94
07/09/18,39,85
08/09/18,12,30
09/09/18,8,9
10/09/18,18,62
11/09/18,34,77
12/09/18,52,75
13/09/18,37,89
14/09/18,34,58
15/09/18,1,11
16/09/18,4,9
17/09/18,24,68
18/09/18,31,58
19/09/18,26,78
20/09/18,21,68
21/09/18,27,78
22/09/18,6,29
23/09/18,2,23
24/09/18,11,72
25/09/18,26,81
26/09/18,20,82
27/09/18,10,78
28/09/18,33,81
29/09/18,4,32
30/09/18,5,10
01/10/18,15,59
02/10/18,13,75
03/10/18,13,111
04/10/18,22,99
05/10/18,23,77
06/10/18,9,17
07/10/18,1,5
08/10/18,20,68
09/10/18,21,86
10/10/18,11,101
11/10/18,27,100
12/10/18,31,112
13/10/18,5,32
14/10/18,2,17
15/10/18,32,97
16/10/18,24,89
17/10/18,37,68
18/10/18,31,58
19/10/18,27,74
20/10/18,3,17
21/10/18,2,12
22/10/18,23,78
23/10/18,22,91
24/10/18,46,77
25/10/18,49,100
26/10/18,41,106
27/10/18,9,10
28/10/18,1,5
29/10/18,36,49
30/10/18,39,84
31/10/18,44,69
01/11/18,34,60
02/11/18,18,82
03/11/18,8,18
04/11/18,5,14
05/11/18,23,77
06/11/18,41,98
07/11/18,42,63
08/11/18,31,84
09/11/18,28,91
10/11/18,6,37
11/11/18,7,16
12/11/18,21,83
13/11/18,30,83
14/11/18,40,83
15/11/18,27,112
16/11/18,42,105
17/11/18,19,36
18/11/18,7,8
19/11/18,17,69
20/11/18,17,105
21/11/18,16,102
22/11/18,17,29
23/11/18,5,13
24/11/18,2,6
25/11/18,0,5
26/11/18,18,80
27/11/18,53,83
28/11/18,38,97
29/11/18,23,119
30/11/18,47,71
01/12/18,10,46
02/12/18,2,19
03/12/18,26,92
04/12/18,50,104
05/12/18,30,117
06/12/18,35,105
07/12/18,16,89
08/12/18,14,38
09/12/18,7,9
10/12/18,25,74
11/12/18,30,74
12/12/18,31,88
13/12/18,31,120
14/12/18,30,96
15/12/18,12,27
16/12/18,0,2
17/12/18,15,69
18/12/18,14,88
19/12/18,22,103
20/12/18,29,104
21/12/18,23,105
22/12/18,6,24
23/12/18,3,8
24/12/18,5,6
25/12/18,0,2
26/12/18,12,47
27/12/18,14,71
28/12/18,8,38
29/12/18,4,23
30/12/18,5,10
31/12/18,1,16
01/01/19,0,13
02/01/19,9,63
03/01/19,20,65
04/01/19,17,85
05/01/19,7,24
06/01/19,0,13
07/01/19,11,74
08/01/19,23,107
09/01/19,27,85
10/01/19,21,63
11/01/19,32,98
12/01/19,13,30
13/01/19,1,16
14/01/19,15,75
15/01/19,17,106
16/01/19,23,103
17/01/19,44,116
18/01/19,19,97
19/01/19,4,23
20/01/19,3,8
21/01/19,2,21
22/01/19,19,58
23/01/19,12,72
24/01/19,23,104
25/01/19,21,124
26/01/19,8,53
27/01/19,7,8
28/01/19,19,82
29/01/19,25,105
30/01/19,29,137
31/01/19,32,101
01/02/19,25,117
02/02/19,12,47
03/02/19,4,12
04/02/19,9,78
05/02/19,35,118
06/02/19,27,116
07/02/19,24,95
08/02/19,25,182
09/02/19,6,24
10/02/19,8,11
11/02/19,25,71
12/02/19,22,86
13/02/19,21,85
14/02/19,30,106
15/02/19,42,119
16/02/19,7,25
17/02/19,3,19
18/02/19,0,27
19/02/19,19,91
20/02/19,25,126
21/02/19,30,114
22/02/19,25,111
23/02/19,18,32
24/02/19,2,21
25/02/19,17,95
26/02/19,14,149
27/02/19,16,111
28/02/19,27,142
01/03/19,24,112
02/03/19,4,40
03/03/19,3,21
04/03/19,12,82
05/03/19,7,110
06/03/19,26,97
07/03/19,21,85
08/03/19,22,88
09/03/19,7,41
10/03/19,8,42
11/03/19,16,66
12/03/19,34,98
13/03/19,23,109
14/03/19,24,97
15/03/19,25,120
16/03/19,4,21
17/03/19,3,22
18/03/19,9,105
19/03/19,23,127
20/03/19,20,107
21/03/19,25,114
22/03/19,23,114
23/03/19,8,30
24/03/19,4,15
25/03/19,16,90
